Outcome,Specification,Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
personal_data_access,Baseline (common N),C(country_fe)[T.EE],-0.5487836783152644,0.0050750102580254365,0.5776519938998074,0.5719346652928181,0.5834264756195278,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.ES],-1.0462313944871626,0.0043941897969368955,0.3512590145419388,0.34824680241515965,0.3542972812421808,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.FI],-0.43560271568433095,0.01708556999289135,0.6468746680523444,0.6255713933582113,0.6689034067263078,2.219362631324835e-143,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.FR],-0.8476867924146804,0.003920076578109981,0.4284047758271913,0.4251258648455751,0.43170897639505573,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.GR],-2.1158605744978853,0.008552598065789455,0.12052952027757313,0.11852594956836729,0.12256695948225535,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.HR],-0.28653278998565535,0.0027641443382176306,0.7508624573582225,0.7468055666514705,0.7549413864146356,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.HU],-0.42920296544904285,0.009754258570393746,0.6510277796249583,0.638699653487261,0.6635938621999843,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.IE],-1.4208207985781647,0.005627429931839816,0.2415156997759844,0.23886652435217048,0.24419425617080368,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.IT],-0.4717188473908249,0.0010881118257110988,0.623928907500558,0.622599697163859,0.6252609556158927,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.LT],-0.6316350671192242,0.00016623016418109053,0.5317216892045511,0.5315484797656442,0.5318949550851765,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.LU],-0.7885965613450375,0.02955601333231141,0.454482185776018,0.4289026610995833,0.4815872595851974,7.73281749632268e-157,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.LV],-1.5747767423096148,0.0006679529132122277,0.20705377386868232,0.20678288395196875,0.20732501865687059,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.MT],-0.8361610640765357,0.015442776629790687,0.4333710176922638,0.42045057291018856,0.44668850770182245,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.NL],-0.2497954966427195,0.011966720177185796,0.7789600667326623,0.7609026620868002,0.7974460017001953,9.1928638924643e-97,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.PL],-0.3671841682298362,0.008545136339549656,0.692682063267066,0.6811775224706283,0.7043809065097397,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.PT],-1.11650280812316,0.007099663803615667,0.3274228552565508,0.32289829113290186,0.3320108191598554,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.RO],0.28690224922671814,0.009397827088221138,1.3322939743440607,1.3079785405601856,1.3570614341373572,1.0886661632131294e-204,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.SE],-1.3118271131986985,0.026473165145514607,0.26932751470012195,0.25570941843402417,0.28367085819038695,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.SI],-0.9911063851445363,0.005761402344072205,0.3711658114284949,0.36699813002533505,0.3753808215967279,0.0,< .001,***
personal_data_access,Baseline (common N),C(country_fe)[T.SK],-0.450305708756418,0.00431088885000834,0.637433252905124,0.6320701490618434,0.6428418625880276,0.0,< .001,***
personal_data_access,Baseline (common N),public_sector,0.07065414459219096,0.09557038750261457,1.073209986196993,0.8898873717125676,1.2942982573810176,0.45973147409871795,0.460,
personal_data_access,Adjusted (common N),Intercept,-0.9770489175462836,0.5158947451269278,0.3764203087298112,0.13694388469790464,1.0346737945751758,0.05823934995977299,0.058,
personal_data_access,Adjusted (common N),C(country_fe)[T.BE],-1.0125739997538066,0.03834602742329429,0.36328268553503357,0.3369802915276738,0.39163806586803906,1.1620913327835867e-153,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.BG],-0.770768231845756,0.048339882601924594,0.4626575035227343,0.42083575133848505,0.5086354115235885,3.097865534775608e-57,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.CY],-1.03225983683215,0.043779014594548214,0.3562010939967544,0.3269117151734851,0.3881146299610358,6.349658722658268e-123,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.CZ],-0.8662597464359632,0.037194524878717126,0.42052146839050814,0.3909562274105508,0.45232251842763904,5.6011588902033704e-120,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.DE],-0.07467216665191839,0.029131615870398902,0.9280476814417636,0.8765433791035411,0.9825782951099058,0.01036916882980487,0.010,*
personal_data_access,Adjusted (common N),C(country_fe)[T.DK],-1.7363055603324529,0.09350593157309735,0.17617004945279957,0.14666945661313327,0.21160429063335595,5.732884698029634e-77,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.EE],-0.6077752106189384,0.039279028152083346,0.5445610560245746,0.5042108772660592,0.5881403141212278,5.256330945917045e-54,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.ES],-1.0719657765202566,0.0355572456111539,0.34233490163488256,0.3192896171566762,0.36704351967655036,1.1530515799241697e-199,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.FI],-0.5283628549692793,0.07823638297430745,0.5895693906125847,0.5057547819165098,0.6872739097594437,1.4440394139442802e-11,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.FR],-0.9156610359887696,0.024803807677118695,0.4002519576741841,0.3812592817758164,0.4201907659161377,2.5451562744609896e-298,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.GR],-2.191793818484539,0.05677383580130752,0.11171617023931549,0.09995167178931896,0.12486537212950762,0.0,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.HR],-0.35780411276441987,0.03891634898493141,0.6992100279118822,0.6478612310452612,0.754628676180779,3.77847890985264e-20,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.HU],-0.45817939224500315,0.04875350078083144,0.6324340122731147,0.5747992107320793,0.6958478237477996,5.567518341184164e-21,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.IE],-1.4765302534191669,0.03563105192443712,0.22842890534212154,0.21302072193554178,0.24495159119585122,0.0,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.IT],-0.5156188007501722,0.030100269000258112,0.5971309751742484,0.5629219775066026,0.6334188675523273,8.8594353987303e-66,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.LT],-0.6912531327140399,0.04005886283230578,0.5009479213437599,0.4631209346161897,0.5418645566230061,1.0097390252182212e-66,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.LU],-0.8624938924073774,0.05232453675578717,0.42210807644846626,0.3809648749047322,0.46769463522740906,4.817476372492517e-61,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.LV],-1.631748796868803,0.03572034712930349,0.19558723253137383,0.18236239492761167,0.20977112931899514,0.0,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.MT],-0.9771762658845154,0.04570692256282295,0.37637237528120504,0.3441216026659552,0.41164566181660006,2.0879068795763404e-101,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.NL],-0.24959607639143608,0.07758886218128042,0.7791154226349515,0.6692032509823537,0.907079935574978,0.0012958104614343758,0.001,**
personal_data_access,Adjusted (common N),C(country_fe)[T.PL],-0.43840804594068855,0.054344277086487806,0.6450625140077235,0.5798876669940473,0.7175625050536486,7.190814889712182e-16,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.PT],-1.154543558305106,0.04234321314240255,0.31520137512393,0.29009850796176656,0.34247644904506186,1.0645043461950281e-163,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.RO],0.23943784785671537,0.06742380555080375,1.2705347157161895,1.1132566261469896,1.4500326572741895,0.0003834263891340281,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.SE],-1.405552974039618,0.0894858800428885,0.24523141234782123,0.20578114537177056,0.292244683027005,1.354797545435885e-55,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.SI],-1.0553135961311644,0.029510853740698294,0.3480832526273668,0.32852123310022335,0.36881010586820684,4.595121351526247e-280,< .001,***
personal_data_access,Adjusted (common N),C(country_fe)[T.SK],-0.47631885141325137,0.029536094554944197,0.6210654230855455,0.5861330115555871,0.6580797398336723,1.6571799618287945e-58,< .001,***
personal_data_access,Adjusted (common N),C(gender)[T.2],0.09329694622635101,0.07831193121274115,1.0977876707791996,0.9415840913557636,1.2799045578388777,0.23351607766781401,0.234,
personal_data_access,Adjusted (common N),C(gender)[T.3],0.24203508221162773,0.7841397358552711,1.273838881117515,0.2739387989850248,5.923459915349294,0.7575777378693558,0.758,
personal_data_access,Adjusted (common N),C(occupation_code)[T.11],0.1364324470663303,0.2391517130155173,1.1461774475113906,0.7172747648002996,1.8315474148173705,0.5683488438326685,0.568,
personal_data_access,Adjusted (common N),C(occupation_code)[T.12],-0.19576830797766692,0.1805567137901521,0.8222027104202245,0.57715006738108,1.1713024657346245,0.2782547263573495,0.278,
personal_data_access,Adjusted (common N),C(occupation_code)[T.13],-0.12227851952364856,0.18898929429505917,0.8849018717293489,0.6109801978139121,1.2816312629965154,0.5176235666771037,0.518,
